region_type,location_name,cbsa_code,year_month,delinq_stats_30_89
State,Vermont,50',2008-04,0.02
State,Virginia,51',2008-04,0.03
State,Washington,53',2008-04,0.02
State,West Virginia,54',2008-04,0.04
State,Wisconsin,55',2008-04,0.02
State,Wyoming,56',2008-04,0.02
National,United States,-----,2008-05,0.03
State,Alabama,01',2008-05,0.04
State,Alaska,02',2008-05,0.02
State,Arizona,04',2008-05,0.03
State,Arkansas,05',2008-05,0.03
State,California,06',2008-05,0.03
State,Colorado,08',2008-05,0.03
State,Connecticut,09',2008-05,0.03
State,Delaware,10',2008-05,0.03
State,District of Columbia,11',2008-05,0.03
State,Florida,12',2008-05,0.04
State,Georgia,13',2008-05,0.04
State,Hawaii,15',2008-05,0.02
State,Idaho,16',2008-05,0.03
State,Illinois,17',2008-05,0.03
State,Indiana,18',2008-05,0.04
State,Iowa,19',2008-05,0.02
State,Kansas,20',2008-05,0.03
State,Kentucky,21',2008-05,0.04
State,Louisiana,22',2008-05,0.04
State,Maine,23',2008-05,0.03
State,Maryland,24',2008-05,0.03
State,Massachusetts,25',2008-05,0.03
State,Michigan,26',2008-05,0.04
State,Minnesota,27',2008-05,0.03
State,Mississippi,28',2008-05,0.05
State,Missouri,29',2008-05,0.04
State,Montana,30',2008-05,0.02
State,Nebraska,31',2008-05,0.02
State,Nevada,32',2008-05,0.04
State,New Hampshire,33',2008-05,0.03
State,New Jersey,34',2008-05,0.03
State,New Mexico,35',2008-05,0.03
State,New York,36',2008-05,0.03
State,North Carolina,37',2008-05,0.04
State,North Dakota,38',2008-05,0.01
State,Ohio,39',2008-05,0.03
State,Oklahoma,40',2008-05,0.03
State,Oregon,41',2008-05,0.02
State,Pennsylvania,42',2008-05,0.03
State,Rhode Island,44',2008-05,0.03
State,South Carolina,45',2008-05,0.04
State,South Dakota,46',2008-05,0.02
State,Tennessee,47',2008-05,0.04
State,Texas,48',2008-05,0.04
State,Utah,49',2008-05,0.02
State,Vermont,50',2008-05,0.02
State,Virginia,51',2008-05,0.03
State,Washington,53',2008-05,0.02
State,West Virginia,54',2008-05,0.04
State,Wisconsin,55',2008-05,0.02
State,Wyoming,56',2008-05,0.02
National,United States,-----,2008-06,0.03
State,Alabama,01',2008-06,0.04
State,Alaska,02',2008-06,0.02
State,Arizona,04',2008-06,0.03
State,Arkansas,05',2008-06,0.04
State,California,06',2008-06,0.03
State,Colorado,08',2008-06,0.02
State,Connecticut,09',2008-06,0.03
State,Delaware,10',2008-06,0.03
State,District of Columbia,11',2008-06,0.03
State,Florida,12',2008-06,0.04
State,Georgia,13',2008-06,0.04
State,Hawaii,15',2008-06,0.02
State,Idaho,16',2008-06,0.03
State,Illinois,17',2008-06,0.03
State,Indiana,18',2008-06,0.04
State,Iowa,19',2008-06,0.02
State,Kansas,20',2008-06,0.03
State,Kentucky,21',2008-06,0.03
State,Louisiana,22',2008-06,0.04
State,Maine,23',2008-06,0.03
State,Maryland,24',2008-06,0.03
State,Massachusetts,25',2008-06,0.03
State,Michigan,26',2008-06,0.04
State,Minnesota,27',2008-06,0.02
State,Mississippi,28',2008-06,0.05
State,Missouri,29',2008-06,0.04
State,Montana,30',2008-06,0.02
State,Nebraska,31',2008-06,0.02
State,Nevada,32',2008-06,0.04
State,New Hampshire,33',2008-06,0.03
State,New Jersey,34',2008-06,0.03
State,New Mexico,35',2008-06,0.03
State,New York,36',2008-06,0.03
State,North Carolina,37',2008-06,0.04
State,North Dakota,38',2008-06,0.01
State,Ohio,39',2008-06,0.03
State,Oklahoma,40',2008-06,0.03
State,Oregon,41',2008-06,0.02
State,Pennsylvania,42',2008-06,0.03
State,Rhode Island,44',2008-06,0.04
State,South Carolina,45',2008-06,0.04
State,South Dakota,46',2008-06,0.01
State,Tennessee,47',2008-06,0.04
State,Texas,48',2008-06,0.04
State,Utah,49',2008-06,0.02
State,Vermont,50',2008-06,0.02
State,Virginia,51',2008-06,0.03
State,Washington,53',2008-06,0.02
State,West Virginia,54',2008-06,0.04
State,Wisconsin,55',2008-06,0.02
State,Wyoming,56',2008-06,0.02
National,United States,-----,2008-07,0.03
State,Alabama,01',2008-07,0.04
State,Alaska,02',2008-07,0.02
State,Arizona,04',2008-07,0.04
State,Arkansas,05',2008-07,0.03
State,California,06',2008-07,0.03
State,Colorado,08',2008-07,0.03
State,Connecticut,09',2008-07,0.03
State,Delaware,10',2008-07,0.03
State,District of Columbia,11',2008-07,0.03
State,Florida,12',2008-07,0.04
State,Georgia,13',2008-07,0.04
State,Hawaii,15',2008-07,0.02
State,Idaho,16',2008-07,0.03
State,Illinois,17',2008-07,0.03
State,Indiana,18',2008-07,0.04
State,Iowa,19',2008-07,0.02
State,Kansas,20',2008-07,0.03
State,Kentucky,21',2008-07,0.03
State,Louisiana,22',2008-07,0.04
State,Maine,23',2008-07,0.03
State,Maryland,24',2008-07,0.03
State,Massachusetts,25',2008-07,0.03
State,Michigan,26',2008-07,0.04
State,Minnesota,27',2008-07,0.03
State,Mississippi,28',2008-07,0.05
State,Missouri,29',2008-07,0.04
State,Montana,30',2008-07,0.02
State,Nebraska,31',2008-07,0.02
State,Nevada,32',2008-07,0.04
State,New Hampshire,33',2008-07,0.03
State,New Jersey,34',2008-07,0.03
State,New Mexico,35',2008-07,0.03
State,New York,36',2008-07,0.03
State,North Carolina,37',2008-07,0.04
State,North Dakota,38',2008-07,0.02
State,Ohio,39',2008-07,0.04
State,Oklahoma,40',2008-07,0.03
State,Oregon,41',2008-07,0.02
State,Pennsylvania,42',2008-07,0.04
State,Rhode Island,44',2008-07,0.04
State,South Carolina,45',2008-07,0.04
State,South Dakota,46',2008-07,0.02
State,Tennessee,47',2008-07,0.04
State,Texas,48',2008-07,0.04
State,Utah,49',2008-07,0.02
State,Vermont,50',2008-07,0.02
State,Virginia,51',2008-07,0.03
State,Washington,53',2008-07,0.02
State,West Virginia,54',2008-07,0.04
State,Wisconsin,55',2008-07,0.02
State,Wyoming,56',2008-07,0.02
National,United States,-----,2008-08,0.04
State,Alabama,01',2008-08,0.05
State,Alaska,02',2008-08,0.02
State,Arizona,04',2008-08,0.04
State,Arkansas,05',2008-08,0.04
State,California,06',2008-08,0.03
State,Colorado,08',2008-08,0.03
State,Connecticut,09',2008-08,0.03
State,Delaware,10',2008-08,0.04
State,District of Columbia,11',2008-08,0.03
State,Florida,12',2008-08,0.05
State,Georgia,13',2008-08,0.05
State,Hawaii,15',2008-08,0.02
State,Idaho,16',2008-08,0.03
State,Illinois,17',2008-08,0.03
State,Indiana,18',2008-08,0.04
State,Iowa,19',2008-08,0.03
State,Kansas,20',2008-08,0.03
State,Kentucky,21',2008-08,0.04
State,Louisiana,22',2008-08,0.04
State,Maine,23',2008-08,0.03
State,Maryland,24',2008-08,0.04
State,Massachusetts,25',2008-08,0.03
State,Michigan,26',2008-08,0.05
State,Minnesota,27',2008-08,0.03
State,Mississippi,28',2008-08,0.06
State,Missouri,29',2008-08,0.04
State,Montana,30',2008-08,0.02
State,Nebraska,31',2008-08,0.03
State,Nevada,32',2008-08,0.04
State,New Hampshire,33',2008-08,0.03
State,New Jersey,34',2008-08,0.03
State,New Mexico,35',2008-08,0.03
State,New York,36',2008-08,0.03
State,North Carolina,37',2008-08,0.04
State,North Dakota,38',2008-08,0.02
State,Ohio,39',2008-08,0.04
State,Oklahoma,40',2008-08,0.04
State,Oregon,41',2008-08,0.02
State,Pennsylvania,42',2008-08,0.04
State,Rhode Island,44',2008-08,0.04
State,South Carolina,45',2008-08,0.04
State,South Dakota,46',2008-08,0.02
State,Tennessee,47',2008-08,0.05
State,Texas,48',2008-08,0.04
State,Utah,49',2008-08,0.02
State,Vermont,50',2008-08,0.02
State,Virginia,51',2008-08,0.03
State,Washington,53',2008-08,0.02
State,West Virginia,54',2008-08,0.04
State,Wisconsin,55',2008-08,0.02
State,Wyoming,56',2008-08,0.03
National,United States,-----,2008-09,0.04
State,Alabama,01',2008-09,0.05
State,Alaska,02',2008-09,0.02
State,Arizona,04',2008-09,0.04
State,Arkansas,05',2008-09,0.04
State,California,06',2008-09,0.03
State,Colorado,08',2008-09,0.03
State,Connecticut,09',2008-09,0.03
State,Delaware,10',2008-09,0.03
State,District of Columbia,11',2008-09,0.03
State,Florida,12',2008-09,0.05
State,Georgia,13',2008-09,0.05
State,Hawaii,15',2008-09,0.02
State,Idaho,16',2008-09,0.03
State,Illinois,17',2008-09,0.03
State,Indiana,18',2008-09,0.04
State,Iowa,19',2008-09,0.03
State,Kansas,20',2008-09,0.03
State,Kentucky,21',2008-09,0.04
State,Louisiana,22',2008-09,0.04
State,Maine,23',2008-09,0.03
State,Maryland,24',2008-09,0.04
State,Massachusetts,25',2008-09,0.03
State,Michigan,26',2008-09,0.05
State,Minnesota,27',2008-09,0.03
State,Mississippi,28',2008-09,0.06
State,Missouri,29',2008-09,0.04
State,Montana,30',2008-09,0.02
State,Nebraska,31',2008-09,0.03
State,Nevada,32',2008-09,0.04
State,New Hampshire,33',2008-09,0.03
State,New Jersey,34',2008-09,0.03
State,New Mexico,35',2008-09,0.03
State,New York,36',2008-09,0.03
State,North Carolina,37',2008-09,0.04
State,North Dakota,38',2008-09,0.02
State,Ohio,39',2008-09,0.04
State,Oklahoma,40',2008-09,0.04
State,Oregon,41',2008-09,0.02
State,Pennsylvania,42',2008-09,0.04
State,Rhode Island,44',2008-09,0.04
State,South Carolina,45',2008-09,0.04
State,South Dakota,46',2008-09,0.02
State,Tennessee,47',2008-09,0.05
State,Texas,48',2008-09,0.04
State,Utah,49',2008-09,0.03
State,Vermont,50',2008-09,0.02
State,Virginia,51',2008-09,0.03
State,Washington,53',2008-09,0.02
State,West Virginia,54',2008-09,0.04
State,Wisconsin,55',2008-09,0.02
State,Wyoming,56',2008-09,0.03
National,United States,-----,2008-10,0.04
State,Alabama,01',2008-10,0.05
State,Alaska,02',2008-10,0.01
State,Arizona,04',2008-10,0.04
State,Arkansas,05',2008-10,0.04
State,California,06',2008-10,0.04
State,Colorado,08',2008-10,0.03
State,Connecticut,09',2008-10,0.03
State,Delaware,10',2008-10,0.04
State,District of Columbia,11',2008-10,0.03
State,Florida,12',2008-10,0.05
State,Georgia,13',2008-10,0.05
State,Hawaii,15',2008-10,0.02
State,Idaho,16',2008-10,0.03
State,Illinois,17',2008-10,0.04
State,Indiana,18',2008-10,0.04
State,Iowa,19',2008-10,0.03
State,Kansas,20',2008-10,0.03
State,Kentucky,21',2008-10,0.04
State,Louisiana,22',2008-10,0.04
State,Maine,23',2008-10,0.03
State,Maryland,24',2008-10,0.04
State,Massachusetts,25',2008-10,0.03
State,Michigan,26',2008-10,0.05
State,Minnesota,27',2008-10,0.03
State,Mississippi,28',2008-10,0.06
State,Missouri,29',2008-10,0.04
State,Montana,30',2008-10,0.02
State,Nebraska,31',2008-10,0.03
State,Nevada,32',2008-10,0.05
State,New Hampshire,33',2008-10,0.03
State,New Jersey,34',2008-10,0.03
State,New Mexico,35',2008-10,0.03
State,New York,36',2008-10,0.03
State,North Carolina,37',2008-10,0.04
State,North Dakota,38',2008-10,0.02
State,Ohio,39',2008-10,0.04
State,Oklahoma,40',2008-10,0.04
State,Oregon,41',2008-10,0.02
State,Pennsylvania,42',2008-10,0.04
State,Rhode Island,44',2008-10,0.04
State,South Carolina,45',2008-10,0.05
State,South Dakota,46',2008-10,0.02
State,Tennessee,47',2008-10,0.05
State,Texas,48',2008-10,0.05
State,Utah,49',2008-10,0.03
State,Vermont,50',2008-10,0.02
State,Virginia,51',2008-10,0.03
State,Washington,53',2008-10,0.02
State,West Virginia,54',2008-10,0.05
State,Wisconsin,55',2008-10,0.02
State,Wyoming,56',2008-10,0.02
National,United States,-----,2008-11,0.04
State,Alabama,01',2008-11,0.05
State,Alaska,02',2008-11,0.02
State,Arizona,04',2008-11,0.05
State,Arkansas,05',2008-11,0.04
State,California,06',2008-11,0.04
State,Colorado,08',2008-11,0.03
State,Connecticut,09',2008-11,0.03
State,Delaware,10',2008-11,0.04
State,District of Columbia,11',2008-11,0.03
State,Florida,12',2008-11,0.05
State,Georgia,13',2008-11,0.05
State,Hawaii,15',2008-11,0.03
State,Idaho,16',2008-11,0.03
State,Illinois,17',2008-11,0.04
State,Indiana,18',2008-11,0.04
State,Iowa,19',2008-11,0.03
State,Kansas,20',2008-11,0.03
State,Kentucky,21',2008-11,0.04
State,Louisiana,22',2008-11,0.04
State,Maine,23',2008-11,0.04
State,Maryland,24',2008-11,0.04
State,Massachusetts,25',2008-11,0.03
State,Michigan,26',2008-11,0.05
State,Minnesota,27',2008-11,0.03
State,Mississippi,28',2008-11,0.06
State,Missouri,29',2008-11,0.04
State,Montana,30',2008-11,0.02
State,Nebraska,31',2008-11,0.02
State,Nevada,32',2008-11,0.05
State,New Hampshire,33',2008-11,0.03
State,New Jersey,34',2008-11,0.03
State,New Mexico,35',2008-11,0.03
State,New York,36',2008-11,0.03
State,North Carolina,37',2008-11,0.04
State,North Dakota,38',2008-11,0.02
State,Ohio,39',2008-11,0.04
State,Oklahoma,40',2008-11,0.04
State,Oregon,41',2008-11,0.02
State,Pennsylvania,42',2008-11,0.04
State,Rhode Island,44',2008-11,0.04
State,South Carolina,45',2008-11,0.05
State,South Dakota,46',2008-11,0.02
State,Tennessee,47',2008-11,0.05
State,Texas,48',2008-11,0.05
State,Utah,49',2008-11,0.03
State,Vermont,50',2008-11,0.02
State,Virginia,51',2008-11,0.03
State,Washington,53',2008-11,0.02
State,West Virginia,54',2008-11,0.04
State,Wisconsin,55',2008-11,0.03
State,Wyoming,56',2008-11,0.03
National,United States,-----,2008-12,0.04
State,Alabama,01',2008-12,0.05
State,Alaska,02',2008-12,0.02
State,Arizona,04',2008-12,0.05
State,Arkansas,05',2008-12,0.04
State,California,06',2008-12,0.04
State,Colorado,08',2008-12,0.03
State,Connecticut,09',2008-12,0.04
State,Delaware,10',2008-12,0.04
State,District of Columbia,11',2008-12,0.03
State,Florida,12',2008-12,0.06
State,Georgia,13',2008-12,0.06
State,Hawaii,15',2008-12,0.03
State,Idaho,16',2008-12,0.03
State,Illinois,17',2008-12,0.04
State,Indiana,18',2008-12,0.05
State,Iowa,19',2008-12,0.03
State,Kansas,20',2008-12,0.03
State,Kentucky,21',2008-12,0.04
State,Louisiana,22',2008-12,0.04
State,Maine,23',2008-12,0.04
State,Maryland,24',2008-12,0.04
State,Massachusetts,25',2008-12,0.03
State,Michigan,26',2008-12,0.05
State,Minnesota,27',2008-12,0.03
State,Mississippi,28',2008-12,0.07
State,Missouri,29',2008-12,0.04
State,Montana,30',2008-12,0.03
State,Nebraska,31',2008-12,0.03
State,Nevada,32',2008-12,0.06
State,New Hampshire,33',2008-12,0.04
State,New Jersey,34',2008-12,0.04
State,New Mexico,35',2008-12,0.04
State,New York,36',2008-12,0.04
State,North Carolina,37',2008-12,0.05
State,North Dakota,38',2008-12,0.02
State,Ohio,39',2008-12,0.04
State,Oklahoma,40',2008-12,0.04
State,Oregon,41',2008-12,0.03
State,Pennsylvania,42',2008-12,0.04
State,Rhode Island,44',2008-12,0.04
State,South Carolina,45',2008-12,0.05
State,South Dakota,46',2008-12,0.02
State,Tennessee,47',2008-12,0.05
State,Texas,48',2008-12,0.05
State,Utah,49',2008-12,0.03
State,Vermont,50',2008-12,0.02
State,Virginia,51',2008-12,0.04
State,Washington,53',2008-12,0.03
State,West Virginia,54',2008-12,0.05
State,Wisconsin,55',2008-12,0.03
State,Wyoming,56',2008-12,0.03
National,United States,-----,2009-01,0.04
State,Alabama,01',2009-01,0.05
State,Alaska,02',2009-01,0.02
State,Arizona,04',2009-01,0.05
State,Arkansas,05',2009-01,0.05
State,California,06',2009-01,0.04
State,Colorado,08',2009-01,0.03
State,Connecticut,09',2009-01,0.04
State,Delaware,10',2009-01,0.04
State,District of Columbia,11',2009-01,0.03
State,Florida,12',2009-01,0.05
State,Georgia,13',2009-01,0.06
State,Hawaii,15',2009-01,0.03
State,Idaho,16',2009-01,0.04
State,Illinois,17',2009-01,0.04
State,Indiana,18',2009-01,0.05
State,Iowa,19',2009-01,0.03
State,Kansas,20',2009-01,0.03
State,Kentucky,21',2009-01,0.04
State,Louisiana,22',2009-01,0.04
State,Maine,23',2009-01,0.04
State,Maryland,24',2009-01,0.05
State,Massachusetts,25',2009-01,0.04
State,Michigan,26',2009-01,0.05
State,Minnesota,27',2009-01,0.03
State,Mississippi,28',2009-01,0.07
State,Missouri,29',2009-01,0.04
State,Montana,30',2009-01,0.03
State,Nebraska,31',2009-01,0.03
State,Nevada,32',2009-01,0.06
State,New Hampshire,33',2009-01,0.04
State,New Jersey,34',2009-01,0.04
State,New Mexico,35',2009-01,0.04
State,New York,36',2009-01,0.04
State,North Carolina,37',2009-01,0.05
State,North Dakota,38',2009-01,0.02
State,Ohio,39',2009-01,0.04
State,Oklahoma,40',2009-01,0.04
State,Oregon,41',2009-01,0.03
State,Pennsylvania,42',2009-01,0.04
State,Rhode Island,44',2009-01,0.04
State,South Carolina,45',2009-01,0.05
State,South Dakota,46',2009-01,0.03
State,Tennessee,47',2009-01,0.05
State,Texas,48',2009-01,0.05
State,Utah,49',2009-01,0.03
State,Vermont,50',2009-01,0.03
State,Virginia,51',2009-01,0.04
State,Washington,53',2009-01,0.03
State,West Virginia,54',2009-01,0.05
State,Wisconsin,55',2009-01,0.03
State,Wyoming,56',2009-01,0.03
National,United States,-----,2009-02,0.04
State,Alabama,01',2009-02,0.05
State,Alaska,02',2009-02,0.02
State,Arizona,04',2009-02,0.05
State,Arkansas,05',2009-02,0.04
State,California,06',2009-02,0.04
State,Colorado,08',2009-02,0.03
State,Connecticut,09',2009-02,0.03
State,Delaware,10',2009-02,0.04
State,District of Columbia,11',2009-02,0.03
State,Florida,12',2009-02,0.05
State,Georgia,13',2009-02,0.05
State,Hawaii,15',2009-02,0.02
State,Idaho,16',2009-02,0.04
State,Illinois,17',2009-02,0.04
State,Indiana,18',2009-02,0.04
State,Iowa,19',2009-02,0.03
State,Kansas,20',2009-02,0.03
State,Kentucky,21',2009-02,0.04
State,Louisiana,22',2009-02,0.04
State,Maine,23',2009-02,0.04
State,Maryland,24',2009-02,0.04
State,Massachusetts,25',2009-02,0.03
State,Michigan,26',2009-02,0.05
State,Minnesota,27',2009-02,0.03
State,Mississippi,28',2009-02,0.06
State,Missouri,29',2009-02,0.04
State,Montana,30',2009-02,0.03
State,Nebraska,31',2009-02,0.02
State,Nevada,32',2009-02,0.05
State,New Hampshire,33',2009-02,0.04
State,New Jersey,34',2009-02,0.04
State,New Mexico,35',2009-02,0.03
State,New York,36',2009-02,0.04
State,North Carolina,37',2009-02,0.04
State,North Dakota,38',2009-02,0.02
State,Ohio,39',2009-02,0.04
State,Oklahoma,40',2009-02,0.04
State,Oregon,41',2009-02,0.03
State,Pennsylvania,42',2009-02,0.04
State,Rhode Island,44',2009-02,0.04
State,South Carolina,45',2009-02,0.05
State,South Dakota,46',2009-02,0.02
State,Tennessee,47',2009-02,0.05
State,Texas,48',2009-02,0.04
State,Utah,49',2009-02,0.03
State,Vermont,50',2009-02,0.03
State,Virginia,51',2009-02,0.03
State,Washington,53',2009-02,0.03
State,West Virginia,54',2009-02,0.04
State,Wisconsin,55',2009-02,0.03
State,Wyoming,56',2009-02,0.03
National,United States,-----,2009-03,0.04
State,Alabama,01',2009-03,0.04
State,Alaska,02',2009-03,0.02
State,Arizona,04',2009-03,0.05
State,Arkansas,05',2009-03,0.04
State,California,06',2009-03,0.04
State,Colorado,08',2009-03,0.03
State,Connecticut,09',2009-03,0.03
State,Delaware,10',2009-03,0.04
State,District of Columbia,11',2009-03,0.04
State,Florida,12',2009-03,0.05
State,Georgia,13',2009-03,0.05
State,Hawaii,15',2009-03,0.02
State,Idaho,16',2009-03,0.04
State,Illinois,17',2009-03,0.04
State,Indiana,18',2009-03,0.04
State,Iowa,19',2009-03,0.03
State,Kansas,20',2009-03,0.03
State,Kentucky,21',2009-03,0.03
State,Louisiana,22',2009-03,0.04
State,Maine,23',2009-03,0.03
State,Maryland,24',2009-03,0.04
State,Massachusetts,25',2009-03,0.03
State,Michigan,26',2009-03,0.04
State,Minnesota,27',2009-03,0.03
State,Mississippi,28',2009-03,0.05
State,Missouri,29',2009-03,0.04
State,Montana,30',2009-03,0.03
State,Nebraska,31',2009-03,0.02
State,Nevada,32',2009-03,0.05
State,New Hampshire,33',2009-03,0.03
State,New Jersey,34',2009-03,0.04
State,New Mexico,35',2009-03,0.03
State,New York,36',2009-03,0.03
State,North Carolina,37',2009-03,0.04
State,North Dakota,38',2009-03,0.02
State,Ohio,39',2009-03,0.03
State,Oklahoma,40',2009-03,0.04
State,Oregon,41',2009-03,0.03
State,Pennsylvania,42',2009-03,0.04
State,Rhode Island,44',2009-03,0.04
State,South Carolina,45',2009-03,0.04
State,South Dakota,46',2009-03,0.02
State,Tennessee,47',2009-03,0.04
State,Texas,48',2009-03,0.04
State,Utah,49',2009-03,0.03
State,Vermont,50',2009-03,0.02
State,Virginia,51',2009-03,0.03
State,Washington,53',2009-03,0.03
State,West Virginia,54',2009-03,0.04
State,Wisconsin,55',2009-03,0.02
State,Wyoming,56',2009-03,0.02
National,United States,-----,2009-04,0.04
State,Alabama,01',2009-04,0.04
State,Alaska,02',2009-04,0.02
State,Arizona,04',2009-04,0.05
State,Arkansas,05',2009-04,0.04
State,California,06',2009-04,0.04
State,Colorado,08',2009-04,0.03
State,Connecticut,09',2009-04,0.03
State,Delaware,10',2009-04,0.04
State,District of Columbia,11',2009-04,0.04
State,Florida,12',2009-04,0.05
State,Georgia,13',2009-04,0.05
State,Hawaii,15',2009-04,0.03
State,Idaho,16',2009-04,0.03
State,Illinois,17',2009-04,0.03
State,Indiana,18',2009-04,0.04
State,Iowa,19',2009-04,0.03
State,Kansas,20',2009-04,0.03
State,Kentucky,21',2009-04,0.03
State,Louisiana,22',2009-04,0.04
State,Maine,23',2009-04,0.03
State,Maryland,24',2009-04,0.04
State,Massachusetts,25',2009-04,0.03
State,Michigan,26',2009-04,0.04
State,Minnesota,27',2009-04,0.03
State,Mississippi,28',2009-04,0.05
State,Missouri,29',2009-04,0.04
State,Montana,30',2009-04,0.03
State,Nebraska,31',2009-04,0.02
State,Nevada,32',2009-04,0.05
